llm,lab,clean_model_name,prompt_id,type,open_weights,full_cot,avg_completion_tokens,avg_reasoning_ratio,avg_success_rate,total_responses
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,brazil_continent,knowledge,False,True,107.2,0.8152222479076021,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,capital_of_australia,knowledge,False,True,149.8,0.6494028933435728,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,leap_year_february_days,knowledge,False,True,173.4,0.8802633583907229,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,one_plus_one,knowledge,False,True,67.6,0.9248418859953038,1.0,5
claude-3-7-sonnet-20250219,anthropic,claude-3-7-sonnet-20250219,train_distance,knowledge,False,True,177.8,0.567463035151983,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,brazil_continent,knowledge,False,False,55.6,0.6982442079175211,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,capital_of_australia,knowledge,False,False,86.8,0.861971565795535,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,leap_year_february_days,knowledge,False,False,161.0,0.5719644720179738,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,one_plus_one,knowledge,False,False,45.4,0.9360447884057971,1.0,5
claude-4-sonnet-0522-thinking,anthropic,claude-4-sonnet-0522-thinking,train_distance,knowledge,False,False,193.6,0.6244202256727156,1.0,5
claude-opus-4,anthropic,claude-opus-4,brazil_continent,knowledge,False,False,56.8,0.704554248042913,1.0,5
claude-opus-4,anthropic,claude-opus-4,capital_of_australia,knowledge,False,False,86.2,0.8606289556044491,1.0,5
claude-opus-4,anthropic,claude-opus-4,leap_year_february_days,knowledge,False,False,93.8,0.8527008146380423,1.0,5
claude-opus-4,anthropic,claude-opus-4,one_plus_one,knowledge,False,False,49.2,0.9408837415482404,1.0,5
claude-opus-4,anthropic,claude-opus-4,train_distance,knowledge,False,False,138.8,0.5314021017257418,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,brazil_continent,knowledge,False,False,58.8,0.7145804922035042,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,capital_of_australia,knowledge,False,False,81.8,0.8503993748768014,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,leap_year_february_days,knowledge,False,False,108.6,0.6869986884391748,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,one_plus_one,knowledge,False,False,49.2,0.9409682375450179,1.0,5
claude-opus-4.1,anthropic,claude-opus-4.1,train_distance,knowledge,False,False,147.8,0.49562789946875885,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,brazil_continent,knowledge,True,True,112.2,0.8544463587788158,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,capital_of_australia,knowledge,True,True,126.2,0.7810890745140744,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,leap_year_february_days,knowledge,True,True,153.6,0.8729904597258227,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,one_plus_one,knowledge,True,True,95.2,0.9422028002647561,1.0,5
deepseek-V3.1,deepseek,deepseek-V3.1,train_distance,knowledge,True,True,276.6,0.7887480560582109,1.0,5
deepseek-V3.2-Exp,deepseek,deepseek-V3.2-Exp,brazil_continent,knowledge,True,True,118.8,0.905853079197526,1.0,5
deepseek-V3.2-Exp,deepseek,deepseek-V3.2-Exp,capital_of_australia,knowledge,True,True,140.4,0.8274270645596884,1.0,5
deepseek-V3.2-Exp,deepseek,deepseek-V3.2-Exp,leap_year_february_days,knowledge,True,True,198.0,0.7702851131031159,1.0,5
deepseek-V3.2-Exp,deepseek,deepseek-V3.2-Exp,one_plus_one,knowledge,True,True,117.2,0.9004278309041378,1.0,5
deepseek-V3.2-Exp,deepseek,deepseek-V3.2-Exp,train_distance,knowledge,True,True,258.4,0.7472378242521727,1.0,5
deepseek-r1,deepseek,deepseek-r1,brazil_continent,knowledge,True,True,354.0,0.8403235961823914,1.0,5
deepseek-r1,deepseek,deepseek-r1,capital_of_australia,knowledge,True,True,245.6,0.7936741225827277,1.0,5
deepseek-r1,deepseek,deepseek-r1,leap_year_february_days,knowledge,True,True,302.8,0.8215453403653049,1.0,5
deepseek-r1,deepseek,deepseek-r1,one_plus_one,knowledge,True,True,263.0,0.8525262606286004,1.0,5
deepseek-r1,deepseek,deepseek-r1,train_distance,knowledge,True,True,354.8,0.8049484747503414,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,brazil_continent,knowledge,True,True,234.6,0.7975364112589689,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,capital_of_australia,knowledge,True,True,360.2,0.6071182573154031,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,leap_year_february_days,knowledge,True,True,454.6,0.8000288728374947,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,one_plus_one,knowledge,True,True,323.6,0.9304659318106498,1.0,5
deepseek-r1-0528,deepseek,deepseek-r1-0528,train_distance,knowledge,True,True,661.2,0.7695746435258282,1.0,5
gemini-2.5-flash-high,google,gemini-2.5-flash-high,brazil_continent,knowledge,False,False,38.8,0.7630122328453524,1.0,5
gemini-2.5-flash-high,google,gemini-2.5-flash-high,capital_of_australia,knowledge,False,False,47.2,0.7745766733266735,1.0,5
gemini-2.5-flash-high,google,gemini-2.5-flash-high,leap_year_february_days,knowledge,False,False,126.0,0.8595203731292299,1.0,5
gemini-2.5-flash-high,google,gemini-2.5-flash-high,one_plus_one,knowledge,False,False,46.6,0.9725595238095238,1.0,5
gemini-2.5-flash-high,google,gemini-2.5-flash-high,train_distance,knowledge,False,False,282.6,0.7887282263493864,1.0,5
gpt-5,openai,gpt-5,brazil_continent,knowledge,False,False,136.4,0.7502653951846392,1.0,5
gpt-5,openai,gpt-5,capital_of_australia,knowledge,False,False,123.6,0.9202168515174627,1.0,5
gpt-5,openai,gpt-5,leap_year_february_days,knowledge,False,False,136.6,0.9289111442370993,1.0,5
gpt-5,openai,gpt-5,one_plus_one,knowledge,False,False,173.4,0.9367457164640264,1.0,5
gpt-5,openai,gpt-5,train_distance,knowledge,False,False,136.0,0.9411764705882353,1.0,5
gpt-oss-120b,openai,gpt-oss-120b,brazil_continent,knowledge,True,True,55.8,0.7521576020354199,1.0,5
gpt-oss-120b,openai,gpt-oss-120b,capital_of_australia,knowledge,True,True,51.2,0.953134371883509,1.0,5
gpt-oss-120b,openai,gpt-oss-120b,leap_year_february_days,knowledge,True,True,72.6,0.9145356831051595,1.0,5
gpt-oss-120b,openai,gpt-oss-120b,one_plus_one,knowledge,True,True,52.6,0.99310141610638,1.0,5
gpt-oss-120b,openai,gpt-oss-120b,train_distance,knowledge,True,True,108.4,0.39178011046858774,1.0,5
gpt-oss-20b,openai,gpt-oss-20b,brazil_continent,knowledge,True,True,47.6,0.8095214885226009,1.0,5
gpt-oss-20b,openai,gpt-oss-20b,capital_of_australia,knowledge,True,True,59.6,0.8356400625575031,1.0,5
gpt-oss-20b,openai,gpt-oss-20b,leap_year_february_days,knowledge,True,True,67.2,0.8086427674518083,1.0,5
gpt-oss-20b,openai,gpt-oss-20b,one_plus_one,knowledge,True,True,86.4,0.729141271057012,1.0,5
gpt-oss-20b,openai,gpt-oss-20b,train_distance,knowledge,True,True,83.0,0.6477319287946182,1.0,5
grok-3-mini-think,x-ai,grok-3-mini-think,brazil_continent,knowledge,False,True,262.0,0.9036813775596567,1.0,5
grok-3-mini-think,x-ai,grok-3-mini-think,capital_of_australia,knowledge,False,True,237.6,0.9145430853661916,1.0,5
grok-3-mini-think,x-ai,grok-3-mini-think,leap_year_february_days,knowledge,False,True,308.0,0.9472051163644313,1.0,5
grok-3-mini-think,x-ai,grok-3-mini-think,one_plus_one,knowledge,False,True,279.8,0.9592735434076024,1.0,5
grok-3-mini-think,x-ai,grok-3-mini-think,train_distance,knowledge,False,True,458.8,0.8615432962479238,1.0,5
grok-4-07-09,x-ai,grok-4-07-09,brazil_continent,knowledge,False,False,169.2,0.9807873919612223,1.0,5
grok-4-07-09,x-ai,grok-4-07-09,capital_of_australia,knowledge,False,False,131.8,0.9843528690606472,1.0,5
grok-4-07-09,x-ai,grok-4-07-09,leap_year_february_days,knowledge,False,False,142.4,0.9562113138529187,1.0,5
grok-4-07-09,x-ai,grok-4-07-09,one_plus_one,knowledge,False,False,175.6,0.9901608796011073,1.0,5
grok-4-07-09,x-ai,grok-4-07-09,train_distance,knowledge,False,False,150.4,0.9388891611618269,1.0,5
o1-mini,openai,o1-mini,brazil_continent,knowledge,False,False,138.2,0.8252721321458475,1.0,5
o1-mini,openai,o1-mini,capital_of_australia,knowledge,False,False,211.2,0.9022401087009604,1.0,5
o1-mini,openai,o1-mini,leap_year_february_days,knowledge,False,False,163.8,0.825906493369936,1.0,5
o1-mini,openai,o1-mini,one_plus_one,knowledge,False,False,325.0,0.9405318296048201,1.0,5
o1-mini,openai,o1-mini,train_distance,knowledge,False,False,272.4,0.5391197265483543,1.0,5
o3-mini-high,openai,o3-mini-high,brazil_continent,knowledge,False,False,60.8,0.6920840840840842,1.0,5
o3-mini-high,openai,o3-mini-high,capital_of_australia,knowledge,False,False,110.4,0.9202614379084967,1.0,5
o3-mini-high,openai,o3-mini-high,leap_year_february_days,knowledge,False,False,88.0,0.8645937145020826,1.0,5
o3-mini-high,openai,o3-mini-high,one_plus_one,knowledge,False,False,123.4,0.9283243527499103,1.0,5
o3-mini-high,openai,o3-mini-high,train_distance,knowledge,False,False,123.2,0.5048979591836734,1.0,5
o4-mini-high-long,openai,o4-mini-high-long,brazil_continent,knowledge,False,False,67.2,0.64,1.0,5
o4-mini-high-long,openai,o4-mini-high-long,capital_of_australia,knowledge,False,False,89.8,0.8464953486230083,1.0,5
o4-mini-high-long,openai,o4-mini-high-long,leap_year_february_days,knowledge,False,False,104.6,0.8469955822845898,1.0,5
o4-mini-high-long,openai,o4-mini-high-long,one_plus_one,knowledge,False,False,71.0,0.7304747000521649,1.0,5
o4-mini-high-long,openai,o4-mini-high-long,train_distance,knowledge,False,False,135.8,0.7254450387223497,1.0,5
qwen3-235b-a22b-think,qwen,qwen3-235b-a22b-think,brazil_continent,knowledge,True,True,316.6,0.9029994185295948,1.0,5
qwen3-235b-a22b-think,qwen,qwen3-235b-a22b-think,capital_of_australia,knowledge,True,True,401.0,0.7884118223926178,1.0,5
qwen3-235b-a22b-think,qwen,qwen3-235b-a22b-think,leap_year_february_days,knowledge,True,True,423.6,0.7797682951138176,1.0,5
qwen3-235b-a22b-think,qwen,qwen3-235b-a22b-think,one_plus_one,knowledge,True,True,352.0,0.9797739157100487,1.0,5
qwen3-235b-a22b-think,qwen,qwen3-235b-a22b-think,train_distance,knowledge,True,True,522.6,0.7740941644770352,1.0,5
qwen3-235b-a22b-thinking-2507,qwen,qwen3-235b-a22b-thinking-2507,brazil_continent,knowledge,True,True,401.2,0.6232153831411847,1.0,5
qwen3-235b-a22b-thinking-2507,qwen,qwen3-235b-a22b-thinking-2507,capital_of_australia,knowledge,True,True,467.8,0.5576548997923789,1.0,5
qwen3-235b-a22b-thinking-2507,qwen,qwen3-235b-a22b-thinking-2507,leap_year_february_days,knowledge,True,True,419.4,0.6239919251522983,1.0,5
qwen3-235b-a22b-thinking-2507,qwen,qwen3-235b-a22b-thinking-2507,one_plus_one,knowledge,True,True,363.0,0.8502530478356783,1.0,5
qwen3-235b-a22b-thinking-2507,qwen,qwen3-235b-a22b-thinking-2507,train_distance,knowledge,True,True,599.0,0.6507086652333097,1.0,5
